"Kod";"Nazwa";"urodzenia żywe na 1000 ludności;2021;[-]";"urodzenia żywe na 1000 ludności;2022;[-]";
1214000;"Powiat proszowicki";9,00;8,14;
1215000;"Powiat suski";9,27;8,71;
1216000;"Powiat tarnowski";8,96;8,53;
1217000;"Powiat tatrzański";9,46;8,78;
1218000;"Powiat wadowicki";9,56;8,62;
1219000;"Powiat wielicki";10,34;9,53;
1261000;"Powiat m. Kraków";10,82;10,30;
1262000;"Powiat m. Nowy Sącz";10,07;8,10;
1263000;"Powiat m. Tarnów";6,87;6,74;
1401000;"Powiat białobrzeski";9,44;9,21;
1402000;"Powiat ciechanowski";8,46;8,21;
1403000;"Powiat garwoliński";11,26;10,69;
1404000;"Powiat gostyniński";8,75;7,00;
1405000;"Powiat grodziski";9,42;8,70;
1406000;"Powiat grójecki";9,09;8,96;
1407000;"Powiat kozienicki";8,49;7,00;
1408000;"Powiat legionowski";8,90;8,52;
1409000;"Powiat lipski";7,16;6,60;
1410000;"Powiat łosicki";8,77;8,40;
1411000;"Powiat makowski";8,91;9,46;
1412000;"Powiat miński";10,09;9,10;
1413000;"Powiat mławski";8,95;9,09;
1414000;"Powiat nowodworski";8,98;8,84;
1415000;"Powiat ostrołęcki";9,62;9,24;
1416000;"Powiat ostrowski";8,45;7,70;
1417000;"Powiat otwocki";9,07;8,58;
1418000;"Powiat piaseczyński";10,50;9,88;
1419000;"Powiat płocki";8,00;8,06;
1420000;"Powiat płoński";9,30;8,18;
1421000;"Powiat pruszkowski";9,37;9,02;
1422000;"Powiat przasnyski";9,85;9,07;
1423000;"Powiat przysuski";8,64;7,03;
1424000;"Powiat pułtuski";9,60;9,48;
1425000;"Powiat radomski";9,18;8,82;
1426000;"Powiat siedlecki";10,65;9,81;
1427000;"Powiat sierpecki";8,70;7,48;
1428000;"Powiat sochaczewski";9,66;8,98;
1429000;"Powiat sokołowski";9,21;8,15;
1430000;"Powiat szydłowiecki";8,15;7,85;
1432000;"Powiat warszawski zachodni";8,92;8,88;
1433000;"Powiat węgrowski";8,81;8,97;
1434000;"Powiat wołomiński";11,26;10,45;
1435000;"Powiat wyszkowski";11,04;10,08;
1436000;"Powiat zwoleński";8,39;7,66;
1437000;"Powiat żuromiński";8,99;7,46;
1438000;"Powiat żyrardowski";8,40;8,88;
1461000;"Powiat m. Ostrołęka";8,48;7,69;
1462000;"Powiat m. Płock";7,35;7,17;
1463000;"Powiat m. Radom";8,09;7,27;
1464000;"Powiat m. Siedlce";11,27;10,59;
1465000;"Powiat m. st. Warszawa";10,62;9,71;
1601000;"Powiat brzeski";7,30;6,59;
1602000;"Powiat głubczycki";7,46;5,66;
