Kod;Nazwa;Urodzenia;Wynagrodzenia;Urbanizacja;Wydatki;Fem;Unemp;Ludnosc;Malzenstwa
2802000;Powiat braniewski;6,65;80,1;54,9;17765486,4;101;17,1;44569;3,8
2803000;Powiat dzia_dowski;8,42;78,6;44,7;39434269,45;103;12,7;65664;4,4
2804000;Powiat elbl_ski;6,45;77,6;29,3;16394606,77;99;13;56361;3,4
2805000;Powiat e_cki;7,5;78,1;67,8;69827232,87;104;11,1;83766;3,9
2806000;Powiat gi_ycki;6,81;82;56,1;45816505,97;105;8,8;56974;4,4
2807000;Powiat i_awski;8,01;75,8;57,9;57472534,11;102;4,3;89196;4,3
2808000;Powiat k_trzy_ski;5,8;78,2;58,1;29188864,3;105;18;67823;3
2809000;Powiat lidzbarski;6,4;76,9;59;23465488,11;105;10,7;43546;3,4
2810000;Powiat mr_gowski;6,06;79;50,6;23958573,53;105;9,3;50373;3,7
2811000;Powiat nidzicki;7,83;76,5;41,6;29889959,08;101;6,4;34066;3,4
2812000;Powiat nowomiejski;7,88;69,6;24,2;20164833,73;101;11;43310;3,5
2813000;Powiat olecki;8,71;80,5;49;30450244,32;101;10,6;34400;3,7
2814000;Powiat olszty_ski;7,02;87,5;28,6;28924731,97;103;6,7;110507;3,8
2815000;Powiat ostr—dzki;7,28;80,6;49,4;61904096,84;103;8,8;105613;4
2816000;Powiat piski;7,86;83,2;59;33579050,5;101;12,3;57766;4,3
2817000;Powiat szczycie_ski;7,42;82,1;41;32366730,24;102;8,3;69621;3,3
2818000;Powiat go_dapski;6,88;76,6;52,8;15412819,32;102;9,7;27106;3,5
2819000;Powiat w_gorzewski;6,3;79,6;50,7;12873565,46;101;12,8;23968;4,1
2861000;Powiat m. Elbl_g;6,61;88;100;12873565,46;110;6,7;128134;4,2
2862000;Powiat m. Olsztyn;8,04;97;100;12873565,46;115;2,1;173102;4,5
3001000;Powiat chodzieski;7,45;82,7;64,1;23836484,6;104;7;46625;4,1
3002000;Powiat czarnkowsko-trzcianecki;7,58;86,6;45,6;42627957,24;101;4,5;85881;3,7
3003000;Powiat gnie_nie_ski;8,5;84;59,4;88528851,61;105;4,4;139440;3,9
3004000;Powiat gosty_ski;9,99;85,6;43,1;35820702,32;101;4,8;75568;4
3005000;Powiat grodziski;10,07;81,9;39,6;22354198,09;101;4,4;48883;4,8
3006000;Powiat jaroci_ski;8,61;80,4;42,6;44573779,72;105;4,2;70307;4,3
3007000;Powiat kaliski;8,36;77,6;8,2;11757476,75;103;3,3;79732;3,9
3008000;Powiat k_pi_ski;9,11;69,9;24,4;28207140,55;102;1,8;54997;3,7
3009000;Powiat kolski;7,57;89,1;35,1;40096369,65;104;3,4;89432;4
3010000;Powiat koni_ski;7,89;74,4;13,2;25471408,08;101;8,6;121386;4,1
3011000;Powiat ko_cia_ski;8,97;88,5;46,4;31798242,31;104;2,8;77377;4,3
3012000;Powiat krotoszy_ski;8,89;71,2;59,4;48058766,12;103;2,7;76965;3,8
3013000;Powiat leszczy_ski;9,15;89,5;9;9921697,16;101;2,3;48617;4,2
3014000;Powiat mi_dzychodzki;8,49;83,8;44,5;22491158,28;102;4,8;36141;4,1
3015000;Powiat nowotomyski;9,11;85,8;44;36157021,48;103;2,2;71449;3,8
3016000;Powiat obornicki;8;86,8;47,9;30673599,6;102;3,2;55606;4,6
3017000;Powiat ostrowski;8,53;82;51,3;100076747,9;105;3;158396;3,9
3018000;Powiat ostrzeszowski;9,15;81,7;31,8;31490935,37;103;3,6;54214;4,7
3019000;Powiat pilski;7,11;89,5;66,5;91367363,01;105;4,3;136551;4
3020000;Powiat pleszewski;8,58;82,9;34,5;35085802,62;102;3,7;61745;3,7
3021000;Powiat pozna_ski;10,16;85,6;30,5;84020309,67;105;1;266429;4,2
3022000;Powiat rawicki;9,26;79;47,1;39330993,46;103;3,6;58951;3,8
3023000;Powiat s_upecki;8,17;81,3;27,6;32682199,51;101;7,1;58655;4,1
3024000;Powiat szamotulski;8,08;94,1;45,1;43028116,12;104;3,2;85086;4,2
3025000;Powiat _redzki;10,13;90,6;40,7;29130026,62;103;5,8;54283;4,3
3026000;Powiat _remski;8,8;80,2;53;35095742,31;104;2,4;58118;4
3027000;Powiat turecki;8,96;75,3;35,9;53481030,69;105;4;83727;4,2
3028000;Powiat w_growiecki;8,82;79,3;48,4;38673048,53;102;5,4;67069;4,5
3029000;Powiat wolszty_ski;9,85;84;21,3;42078938,98;104;1,8;54033;3,9
3030000;Powiat wrzesi_ski;9,03;85,9;53,9;48468580,65;105;4;73290;3,9
3031000;Powiat z_otowski;7,41;74;50;29712119,95;102;4,7;68565;3,9
3061000;Powiat m. Kalisz;6,53;86,2;100;29712119,95;115;3,4;109498;4,1
3062000;Powiat m. Konin;6,18;88,2;100;29712119,95;113;5,9;82353;3,5
3063000;Powiat m. Leszno;8,58;87;100;29712119,95;111;2,8;63660;4,3
3064000;Powiat m. Pozna_;8,94;109,8;100;29712119,95;114;1;578886;4,9
3201000;Powiat bia_ogardzki;6,34;85,7;68,2;20231554,52;104;16,3;48463;3,3
3202000;Powiat choszcze_ski;6,57;83,1;47,6;19370200,13;102;15,4;50446;3,9
3203000;Powiat drawski;5,96;79,4;63,5;37999255,56;104;11,7;58910;3,4
3204000;Powiat goleniowski;7,61;89,3;53,2;38462246,28;103;3,4;77299;4,1
3205000;Powiat gryficki;6,83;80;50,4;21655495,92;102;7,4;61140;4
3206000;Powiat gryfi_ski;6,53;87,7;46,1;29241051,95;102;6,9;83340;3,7
3207000;Powiat kamie_ski;6,7;79,4;51,5;19483221,38;105;14,1;47959;3,7
3208000;Powiat ko_obrzeski;6,3;83,3;60,2;56260275,71;110;1,8;75105;4
3209000;Powiat koszali_ski;6,1;83,5;24;3100705,71;100;12,1;62890;4
3210000;Powiat my_liborski;5,96;84,6;58,4;24933081,18;103;6,2;68022;3,3
3211000;Powiat policki;6,61;98,8;36,6;50039039,3;105;3,5;59630;3,1
3212000;Powiat pyrzycki;6,87;84,9;42,8;24323954,98;101;11,1;40243;3,7
3213000;Powiat s_awie_ski;6,89;78,4;46,1;24284058,76;104;13,5;57860;3,7
3214000;Powiat stargardzki;7,13;83,6;63,2;77473581,99;104;7,1;119861;4,3
3215000;Powiat szczecinecki;6,79;86,5;66;51876761,38;105;15,1;77728;3,7
3216000;Powiat _widwi_ski;6,89;78,1;50,4;23961045,2;103;12,7;49577;4
3217000;Powiat wa_ecki;6,52;87,8;61;30904125,23;105;8,5;55254;3,9
3218000;Powiat _obeski;7,22;84;53,8;13064478,23;101;15,2;38583;3,8
3261000;Powiat m. Koszalin;7,4;90,3;100;13064478,23;113;5,1;108709;4,5
3262000;Powiat m. Szczecin;8,21;103,6;100;13064478,23;111;3,1;415399;4,9
3263000;Powiat m. _winouj_cie;6,48;90,4;100;13064478,23;109;4;41796;4
