Kod;Nazwa;Urodzenia;Wynagrodzenia;Urbanizacja;Wydatki;Fem;Unemp;Ludnosc;Malzenstwa
618000;Powiat tomaszowski;6,34;76,1;30,9;34721325,1;103;9,1;90530;3,5
619000;Powiat w_odawski;6,51;78,1;34,3;18633929,61;102;15,6;41052;3,8
620000;Powiat zamojski;6,57;73,5;10,5;7247574,78;103;10,7;111560;3,9
661000;Powiat m. Bia_a Podlaska;7,61;84,9;100;7247574,78;110;7,8;58311;3,6
662000;Powiat m. Che_m;5,91;83,8;100;7247574,78;115;9,4;68909;3,4
663000;Powiat m. Lublin;8,97;95,5;100;7247574,78;117;5,1;357110;4,6
664000;Powiat m. Zamo__;6,6;87,6;100;7247574,78;115;8,1;67160;3,9
801000;Powiat gorzowski;6,77;91,9;32,9;10064515,27;101;3;62881;3,4
802000;Powiat kro_nie_ski;7,31;85,5;49,9;22099123,94;104;6,2;57523;4,1
803000;Powiat mi_dzyrzecki;7,08;84,9;51,5;22684926,42;104;7,3;58773;3,9
804000;Powiat nowosolski;7,45;86,6;64,9;45662922,8;106;5,1;86999;4,3
805000;Powiat s_ubicki;6,91;88,3;63,9;14203440,77;105;2,3;46684;5,4
806000;Powiat strzelecko-drezdenecki;6,46;85,4;47,5;21161183,08;103;9,1;50525;3,8
807000;Powiat sul_ci_ski;7,35;79,6;42,2;13584736,4;100;4,5;35499;3
808000;Powiat _wiebodzi_ski;7,73;91,8;47,8;23502382,02;104;2,7;56204;3,5
809000;Powiat zielonog—rski;7,75;91,9;42,6;24203297,98;103;7,4;87760;3,7
810000;Powiat _aga_ski;6,3;81,5;59,6;31511272,13;105;6,2;83264;4,4
811000;Powiat _arski;6,75;92;59,3;55441172,91;106;5,2;100011;3,9
812000;Powiat wschowski;6,69;81,3;49,6;20694855,01;103;7,4;38624;3,8
861000;Powiat m. Gorz—w Wielkopolski;7,58;87,8;100;20694855,01;112;2,3;125914;4,2
862000;Powiat m. Zielona G—ra;7,79;96,4;100;20694855,01;112;2,6;118293;4,3
1001000;Powiat be_chatowski;7,46;121,4;55;50814674,75;105;5,1;111964;3,8
1002000;Powiat kutnowski;6,64;86,5;57,8;60481999,34;109;7,6;107488;3,9
1003000;Powiat _aski;7,28;78,2;33;14375991,92;106;7,3;51487;3,7
1004000;Powiat __czycki;7,78;89,9;31,4;31621867,52;106;6,1;54931;4,1
1005000;Powiat _owicki;7,73;80,5;35,2;44098416,05;107;5,1;83811;4,1
1006000;Powiat _—dzki wschodni;7,57;81,7;30,6;15491169,11;108;5,8;62548;3,3
1007000;Powiat opoczy_ski;8,05;81,5;31,5;34202214,19;102;8,1;79633;3,8
1008000;Powiat pabianicki;6,92;84,3;68,8;42575932,79;112;5,8;120272;3,5
1009000;Powiat paj_cza_ski;7,43;81,5;23,9;14959922,06;102;8,2;54379;4
1010000;Powiat piotrkowski;7,85;78,7;9,1;19119683,56;103;6,1;90180;4,1
1011000;Powiat podd_bicki;7,52;110;24,7;15311123,38;103;6,8;43254;4,2
1012000;Powiat radomszcza_ski;7,22;79,5;45,8;58594516,08;104;4,7;120464;3,8
1013000;Powiat rawski;8,57;82,8;41,2;32277973,07;103;3,5;50061;3,6
1014000;Powiat sieradzki;8,22;83,9;42,3;59755023,86;105;5,6;122708;4,4
1015000;Powiat skierniewicki;9,31;80,7;2,4;4157244,53;101;4,4;38550;4,1
1016000;Powiat tomaszowski;7,23;81,7;52,1;59672710,11;109;7,7;122209;3,8
1017000;Powiat wielu_ski;6,87;82;28,5;56516795,45;105;6,1;78997;3,8
1018000;Powiat wieruszowski;8,61;75,7;25,5;11701045,53;102;5,2;42563;3,9
1019000;Powiat zdu_skowolski;7,19;83,6;63,7;50828533,04;107;6,5;68027;3,3
1020000;Powiat zgierski;7,19;89,8;66,6;75448524,17;110;5,1;159639;3,8
1021000;Powiat brzezi_ski;8,05;78,5;39,7;10135006,12;107;7,7;30891;4,3
1061000;Powiat m. _—d_;7,81;98,9;100;10135006,12;119;4,5;789318;4,1
1062000;Powiat m. Piotrk—w Trybunalski;7,29;81,5;100;10135006,12;114;5,3;80979;3,8
1063000;Powiat m. Skierniewice;8,83;86,5;100;10135006,12;111;4,5;48537;4,2
1201000;Powiat boche_ski;10,15;84,2;29,4;59500146,28;102;3;97699;4,4
1202000;Powiat brzeski;9,05;76,5;20;40218892,91;102;4,7;89193;4,4
1203000;Powiat chrzanowski;6,7;89,8;60,5;55623411,85;107;6,3;129066;3,6
1204000;Powiat d_browski;8,73;78,6;27;21445444,03;102;11,3;58358;3,9
1205000;Powiat gorlicki;8,1;75;31,4;62320328,05;102;6,1;106185;4,2
1206000;Powiat krakowski;7,91;95,2;14,8;66093840,1;104;4,6;238257;3,4
1207000;Powiat limanowski;10,93;77,3;17;67320631,11;100;7,3;118818;5
1208000;Powiat miechowski;7,04;80,8;23,5;24902873,75;104;5;51701;3,6
1209000;Powiat my_lenicki;9,82;83,6;23,6;55245840,49;102;3,3;113717;4,2
1210000;Powiat nowos_decki;10,74;76,6;15,9;48484895,38;101;8,7;192751;4,7
1211000;Powiat nowotarski;9,39;77,1;26,7;99268665,76;105;4,8;178782;4,1
1212000;Powiat olkuski;6,6;87,9;47,2;53794707,85;106;7,5;115008;4
1213000;Powiat o_wi_cimski;7,5;88;51,4;93163004,56;106;5,5;153338;3,5
1214000;Powiat proszowicki;8,14;83,2;19,3;13757818,2;103;6,1;43601;3,8
1215000;Powiat suski;8,71;82,9;24;48747515,41;103;4,3;81128;4,6
1216000;Powiat tarnowski;8,53;74,7;11,6;50518002,66;101;7,1;181881;4,5
1217000;Powiat tatrza_ski;8,78;82,3;38,1;22941764,8;107;7,8;65317;3,9
1218000;Powiat wadowicki;8,62;80,3;25,6;94782334,25;104;5,2;152711;4,4
1219000;Powiat wielicki;9,53;92,5;30,9;56931528,46;104;3,5;101963;3,6
1261000;Powiat m. Krak—w;10,3;121,7;100;56931528,46;114;2,3;758544;5,8
1262000;Powiat m. Nowy S_cz;8,1;81,7;100;56931528,46;109;3,3;84477;4
1263000;Powiat m. Tarn—w;6,74;100,2;100;56931528,46;113;4,4;119913;3,5
1401000;Powiat bia_obrzeski;9,21;83;22,5;13701305,2;99;7,7;33687;4,4
1402000;Powiat ciechanowski;8,21;92,7;52,3;44687968,43;103;8,3;91768;4,1
1403000;Powiat garwoli_ski;10,69;85;28,4;71508296,27;102;9,9;106410;4,5
1404000;Powiat gostyni_ski;7;86,6;44,5;20854930,16;106;11,8;47846;3,8
1405000;Powiat grodziski;8,7;106,5;52,4;42067899,39;108;2,7;74282;3,8
1406000;Powiat gr—jecki;8,96;93,2;35,5;55261538,68;103;2,4;106824;3,9
